"aar","bydel_id","innvkat_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_id","naringsregion_id","kommune_id"
"2014","030101","alle","0","personer","23250","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","alle","0","prosent","48","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","alle","1","personer","25167","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","alle","1","prosent","52","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","alle","alle","personer","48417","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","alle","alle","prosent","100","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","0","personer","6452","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","0","prosent","13.3","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","1","personer","7793","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","1","prosent","16.1","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","alle","personer","14245","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","innvandrere","alle","prosent","29.4","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","0","personer","16798","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","0","prosent","34.7","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","1","personer","17374","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","1","prosent","35.9","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","alle","personer","34172","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","befolkningen_ellers","alle","prosent","70.6","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","0","personer","2088","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","0","prosent","4.3","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","1","personer","2198","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","1","prosent","4.5","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","alle","personer","4286","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","norskfodte_m_innvf","alle","prosent","8.9","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","bef_u_innv_og_norskf","0","personer","14710","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","bef_u_innv_og_norskf","0","prosent","30.4","befolkning_hovedgruppe","NULL","NULL","NULL"
"2014","030101","bef_u_innv_og_norskf","1","personer","15176","befolkning_hovedgruppe","NULL","NULL","NULL"
