"Næringsregion 
nr & navn";naringsregion_nr;"Næringsregion
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.alle;spraak.minoritet;spraak.ikke_minoritet;barnikommune.alle;barnikommune.innvandrerbakgr;barnikommune.barn_ellers;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;spraak.minoritet;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr;barnikommune.innvandrerbakgr
Nedbrytninger;;;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1_5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5;bhgalder.1;bhgalder.2;bhgalder.3;bhgalder.4;bhgalder.5
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
17 Midt-Gudbrandsdal;17;Midt-Gudbrandsdal;617;56;561;671;59;612;92;94,9;91,7;100;9;91;7;7;14;17;11;15;10;12;15;7;46,66666667;70;116,6666667;113,3333333;157,1428571;2,235469449;1,490312966;1,788375559;2,235469449;1,043219076
18 Nord-Gudbrandsdal;18;Nord-Gudbrandsdal;804;65;739;896;74;822;89,7;87,8;89,9;100;8;92;8;11;10;15;21;9;19;13;13;20;88,88888889;57,89473684;76,92307692;115,3846154;105;1,004464286;2,120535714;1,450892857;1,450892857;2,232142857
19 Valdres;19;Valdres;807;84;723;890;106;784;90,7;79,2;92,2;100;12;88;14;13;16;21;20;29;23;16;21;17;48,27586207;56,52173913;100;100;117,6470588;3,258426966;2,584269663;1,797752809;2,359550562;1,91011236
20 Drammensregionen;20;Drammensregionen;9868;1936;7 932;11 076;2 325;8 751;89,1;83,3;90,6;100;21;79;216;357;444;436;483;475;443;478;453;476;45,47368421;80,58690745;92,88702929;96,24724062;101,4705882;4,288551824;3,999638859;4,315637414;4,08992416;4,297580354
21 Hallingdal;21;Hallingdal;914;131;783;1 015;166;849;90;78,9;92,2;100;16;84;15;23;34;28;31;40;28;42;26;30;37,5;82,14285714;80,95238095;107,6923077;103,3333333;3,9408867;2,75862069;4,137931034;2,561576355;2,955665025
22 Kongsberg/Numedal;22;Kongsberg/Numedal;1858;254;1 604;1 980;319;1 661;93,8;79,6;96,6;100;16;84;34;55;57;53;55;68;67;62;62;60;50;82,08955224;91,93548387;85,48387097;91,66666667;3,434343434;3,383838384;3,131313131;3,131313131;3,03030303
23 Midt-Buskerud;23;Midt-Buskerud;928;98;830;1 064;143;921;87,2;68,5;90,1;100;13;87;8;19;27;24;20;24;34;31;31;23;33,33333333;55,88235294;87,09677419;77,41935484;86,95652174;2,255639098;3,195488722;2,913533835;2,913533835;2,161654135
24 Ringerike/Hole;24;Ringerike/Hole;1793;211;1 582;2 012;306;1 706;89,1;69;92,7;100;15;85;14;47;60;41;49;57;68;77;47;57;24,56140351;69,11764706;77,92207792;87,23404255;85,96491228;2,833001988;3,37972167;3,827037773;2,335984095;2,833001988
25 Tønsbergregionen;25;Tønsbergregionen;6897;669;6 228;7 737;950;6 787;89,1;70,4;91,8;100;12;88;61;116;163;168;161;204;180;196;193;177;29,90196078;64,44444444;83,16326531;87,04663212;90,96045198;2,636680884;2,326483133;2,533281634;2,494506915;2,287708414
26 Sandefjord/Larvik;26;Sandefjord/Larvik;4594;607;3 987;5 131;841;4 290;89,5;72,2;92,9;100;16;84;55;123;138;143;148;168;172;164;178;159;32,73809524;71,51162791;84,14634146;80,33707865;93,08176101;3,274215553;3,352173066;3,196258039;3,469109335;3,098811148
27 Grenland;27;Grenland;5881;755;5 126;6 576;999;5 577;89,4;75,6;91,9;100;15;85;90;143;184;162;176;217;205;211;189;177;41,47465438;69,75609756;87,20379147;85,71428571;99,43502825;3,299878345;3,117396594;3,20863747;2,874087591;2,691605839
28 Midt-Telemark;28;Midt-Telemark;813;115;698;897;138;759;90,6;83,3;92;100;15;85;16;14;27;34;24;34;17;34;31;22;47,05882353;82,35294118;79,41176471;109,6774194;109,0909091;3,790412486;1,895206243;3,790412486;3,455964326;2,452619844
29 Øst-Telemark;29;Øst-Telemark;1002;110;892;1 063;121;942;94,3;90,9;94,7;100;11;89;10;21;29;25;25;26;21;26;25;23;38,46153846;100;111,5384615;100;108,6956522;2,445907808;1,975540922;2,445907808;2,351834431;2,163687676
30 Vest-Telemark;30;Vest-Telemark;669;58;611;753;69;684;88,8;84,1;89,3;100;9;91;5;11;12;13;17;12;14;15;12;16;41,66666667;78,57142857;80;108,3333333;106,25;1,593625498;1,859229748;1,992031873;1,593625498;2,124833997
31 Setesdal;31;Setesdal;361;47;314;396;49;347;91,2;95,9;90,5;100;12;88;:;4;13;8;20;7;4;15;8;15;.;100;86,66666667;100;133,3333333;1,767676768;1,01010101;3,787878788;2,02020202;3,787878788
32 Arendalregionen;32;Arendalregionen;5012;540;4 472;5 509;685;4 824;91;78,8;92,7;100;12;88;57;102;117;131;133;140;130;132;141;142;40,71428571;78,46153846;88,63636364;92,90780142;93,66197183;2,541296061;2,359774914;2,396079143;2,559448176;2,57760029
33 Lister;33;Lister;2001;171;1 830;2 319;232;2 087;86,3;73,7;87,7;100;10;90;14;32;45;40;40;49;42;52;49;40;28,57142857;76,19047619;86,53846154;81,63265306;100;2,112979733;1,811125485;2,242345839;2,112979733;1,724881414
34 Mandalsregionen;34;Mandalsregionen;1438;130;1 308;1 626;178;1 448;88,4;73;90,3;100;11;89;11;18;28;37;36;37;30;32;38;41;29,72972973;60;87,5;97,36842105;87,80487805;2,275522755;1,84501845;1,96801968;2,33702337;2,521525215
35 Kristiansandregionen;35;Kristiansandregionen;7996;928;7 068;9 102;1 288;7 814;87,8;72;90,5;100;14;86;75;162;209;247;235;275;239;257;274;243;27,27272727;67,78242678;81,3229572;90,1459854;96,70781893;3,021313997;2,625796528;2,823555263;3,010327401;2,669742914
36 Dalane;36;Dalane;1455;146;1 309;1 650;180;1 470;88,2;81,1;89;100;11;89;22;30;34;34;26;36;45;32;41;26;61,11111111;66,66666667;106,25;82,92682927;100;2,181818182;2,727272727;1,939393939;2,484848485;1,575757576
37 Haugesundregionen;37;Haugesundregionen;6070;583;5 487;6 853;816;6 037;88,6;71,4;90,9;100;12;88;66;128;147;120;122;164;188;182;146;136;40,24390244;68,08510638;80,76923077;82,19178082;89,70588235;2,393112505;2,743324092;2,655771195;2,130453816;1,984532322
38 Ryfylke;38;Ryfylke;1468;164;1 304;1 660;200;1 460;88,4;82;89,3;100;12;88;22;31;47;32;32;45;39;53;28;35;48,88888889;79,48717949;88,67924528;114,2857143;91,42857143;2,710843373;2,34939759;3,192771084;1,686746988;2,108433735
39 Stavangerregionen;39;Stavangerregionen;20278;2927;17 351;22 811;3 926;18 885;88,9;74,6;91,9;100;17;83;366;581;719;643;618;855;802;846;710;713;42,80701754;72,44389027;84,98817967;90,56338028;86,67601683;3,748191662;3,515847617;3,708737013;3,112533427;3,125684977
40 Bergen;40;Bergen;15113;1942;13 171;16 633;2 625;14 008;90,9;74;94;100;16;84;238;358;454;457;435;579;559;508;499;480;41,10535406;64,04293381;89,37007874;91,58316633;90,625;3,481031684;3,360788793;3,054169422;3,000060121;2,885829375
41 Bjørnefjorden;41;Bjørnefjorden;1647;124;1 523;1 837;191;1 646;89,7;64,9;92,5;100;10;90;15;28;28;31;22;42;40;38;39;32;35,71428571;70;73,68421053;79,48717949;68,75;2,286336418;2,177463255;2,068590093;2,123026674;1,741970604
42 Hardanger;42;Hardanger;1081;139;942;1 205;176;1 029;89,7;79;91,5;100;15;85;19;33;24;37;26;34;47;32;33;30;55,88235294;70,21276596;75;112,1212121;86,66666667;2,821576763;3,900414938;2,65560166;2,738589212;2,489626556
43 Voss;43;Voss;739;56;683;829;69;760;89,1;81,2;89,9;100;8;92;:;11;17;18;7;12;11;21;19;6;.;100;80,95238095;94,73684211;116,6666667;1,447527141;1,326899879;2,533172497;2,291917973;0,723763571
44 Nordhordland;44;Nordhordland;2092;141;1 951;2 269;176;2 093;92,2;80,1;93,2;100;8;92;24;17;39;37;24;40;31;38;43;24;60;54,83870968;102,6315789;86,04651163;100;1,762891141;1,366240635;1,674746584;1,895107977;1,057734685
45 Osterfjorden;45;Osterfjorden;619;57;562;728;86;642;85;66,3;87,5;100;12;88;9;8;11;17;12;19;14;17;22;14;47,36842105;57,14285714;64,70588235;77,27272727;85,71428571;2,60989011;1,923076923;2,335164835;3,021978022;1,923076923
46 Sunnhordland;46;Sunnhordland;3908;345;3 563;4 299;453;3 846;90,9;76,2;92,6;100;11;89;36;73;64;90;82;89;100;80;95;89;40,4494382;73;80;94,73684211;92,13483146;2,070248895;2,326122354;1,860897883;2,209816236;2,070248895
47 Hordaland Vest;47;Hordaland Vest;4441;243;4 198;4 848;337;4 511;91,6;72,1;93,1;100;7;93;30;47;54;59;53;70;70;69;66;62;42,85714286;67,14285714;78,26086957;89,39393939;85,48387097;1,443894389;1,443894389;1,423267327;1,361386139;1,278877888
48 HAFS;48;HAFS;470;37;433;518;42;476;90,7;88,1;91;100;8;92;:;7;8;11;8;8;10;4;12;8;.;70;200;91,66666667;100;1,544401544;1,930501931;0,772200772;2,316602317;1,544401544
49 Nordfjord;49;Nordfjord;1744;184;1 560;1 901;234;1 667;91,7;78,6;93,6;100;12;88;30;29;30;56;39;61;39;34;63;37;49,18032787;74,35897436;88,23529412;88,88888889;105,4054054;3,208837454;2,051551815;1,788532351;3,314045239;1,946344029
50 Sogn;50;Sogn;1604;124;1 480;1 753;176;1 577;91,5;70,5;93,8;100;10;90;16;22;30;31;25;49;29;35;36;27;32,65306122;75,86206897;85,71428571;86,11111111;92,59259259;2,795208214;1,654306902;1,996577296;2,053622362;1,540216771
51 Sunnfjord;51;Sunnfjord;2110;213;1 897;2 281;255;2 026;92,5;83,5;93,6;100;11;89;28;43;54;41;47;49;52;60;43;51;57,14285714;82,69230769;90;95,34883721;92,15686275;2,148180623;2,279701885;2,630425252;1,885138097;2,235861464
52 Nordmøre;52;Nordmøre;3060;297;2 763;3 349;361;2 988;91,4;82,3;92,5;100;11;89;45;61;69;73;49;79;71;77;75;59;56,96202532;85,91549296;89,61038961;97,33333333;83,05084746;2,358913108;2,120035832;2,299193789;2,23947447;1,761719916
53 Romsdal;53;Romsdal;3039;222;2 817;3 355;317;3 038;90,6;70;92,7;100;9;91;22;48;61;41;50;70;67;78;50;52;31,42857143;71,64179104;78,20512821;82;96,15384615;2,086438152;1,997019374;2,324888227;1,490312966;1,549925484
54 Storfjord;54;Storfjord;915;150;765;983;174;809;93,1;86,2;94,6;100;18;82;30;26;33;27;34;43;32;31;35;33;69,76744186;81,25;106,4516129;77,14285714;103,030303;4,374364191;3,255340793;3,153611394;3,560528993;3,357070193
55 Søre Sunnmøre;55;Søre Sunnmøre;2709;275;2 434;2 858;327;2 531;94,8;84,1;96,2;100;11;89;34;64;51;80;46;63;72;56;81;55;53,96825397;88,88888889;91,07142857;98,7654321;83,63636364;2,204338698;2,519244227;1,959412176;2,834149755;1,924422673
56 Ålesundregionen;56;Ålesundregionen;4673;380;4 293;4 999;573;4 426;93,5;66,3;97;100;11;89;39;75;87;99;80;119;120;118;119;97;32,77310924;62,5;73,72881356;83,19327731;82,4742268;2,380476095;2,400480096;2,360472094;2,380476095;1,940388078
57 Fosen;57;Fosen;1210;47;1 163;1 333;56;1 277;90,8;83,9;91,1;100;4;96;4;17;9;9;8;10;16;12;7;11;40;106,25;75;128,5714286;72,72727273;0,750187547;1,200300075;0,900225056;0,525131283;0,825206302
58 Hitra/Frøya;58;Hitra/Frøya;437;101;336;495;111;384;88,3;91;87,5;100;22;78;12;27;20;16;26;24;25;18;17;27;50;108;111,1111111;94,11764706;96,2962963;4,848484848;5,050505051;3,636363636;3,434343434;5,454545455
59 Oppdal/Rennebu;59;Oppdal/Rennebu;456;39;417;494;40;454;92,3;97,5;91,9;100;8;92;7;11;5;9;7;9;10;6;8;7;77,77777778;110;83,33333333;112,5;100;1,821862348;2,024291498;1,214574899;1,619433198;1,417004049
60 Orkdalregionen;60;Orkdalregionen;1228;85;1 143;1 314;81;1 233;93,5;104,9;92,7;100;6;94;8;19;18;20;20;12;19;13;19;18;66,66666667;100;138,4615385;105,2631579;111,1111111;0,913242009;1,445966514;0,98934551;1,445966514;1,369863014
61 Trondheimsregionen;61;Trondheimsregionen;14142;1328;12 814;14 982;1 651;13 331;94,4;80,4;96,1;100;11;89;174;290;318;293;253;341;372;345;325;268;51,02639296;77,95698925;92,17391304;90,15384615;94,40298507;2,276064611;2,482979575;2,302763316;2,16926979;1,788813243
62 Rørosregionen;62;Rørosregionen;368;28;340;390;32;358;94,4;87,5;95;100;8;92;8;:;6;7;4;7;6;6;7;6;114,2857143;.;100;100;66,66666667;1,794871795;1,538461538;1,538461538;1,794871795;1,538461538
63 Stjørdalsregionen;63;Stjørdalsregionen;1648;115;1 533;1 770;150;1 620;93,1;76,7;94,6;100;8;92;10;25;22;33;25;27;36;25;37;25;37,03703704;69,44444444;88;89,18918919;100;1,525423729;2,033898305;1,412429379;2,09039548;1,412429379
64 Innherred;64;Innherred;3627;245;3 382;3 797;282;3 515;95,5;86,9;96,2;100;7;93;30;53;61;45;56;58;61;61;44;58;51,72413793;86,8852459;100;102,2727273;96,55172414;1,527521728;1,606531472;1,606531472;1,158809587;1,527521728
65 Indre Namdal;65;Indre Namdal;411;21;390;437;29;408;94,1;72,4;95,6;100;7;93;:;11;7;:;:;:;14;7;:;4;.;78,57142857;100;.;.;.;3,203661327;1,601830664;.;0,915331808
66 Kystgruppen;66;Kystgruppen;539;34;505;588;41;547;91,7;82,9;92,3;100;7;93;7;9;:;7;9;10;9;:;11;9;70;100;.;63,63636364;100;1,700680272;1,530612245;.;1,870748299;1,530612245
67 Midtre Namdal;67;Midtre Namdal;1142;105;1 037;1 215;120;1 095;94;87,5;94,7;100;10;90;21;19;27;23;15;32;22;28;24;14;65,625;86,36363636;96,42857143;95,83333333;107,1428571;2,633744856;1,810699588;2,304526749;1,975308642;1,152263374
68 Sør-Helgeland;68;Sør-Helgeland;678;50;628;718;50;668;94,4;100;94;100;7;93;8;14;9;13;6;10;12;9;13;6;80;116,6666667;100;100;100;1,39275766;1,671309192;1,253481894;1,810584958;0,835654596
69 HALD;69;HALD;645;77;568;707;90;617;91,2;85,6;92,1;100;13;87;9;18;16;15;19;23;15;16;17;19;39,13043478;120;100;88,23529412;100;3,253182461;2,121640736;2,263083451;2,404526167;2,687411598
70 Ytre Helgeland;70;Ytre Helgeland;184;17;167;201;18;183;91,5;94,4;91,3;100;9;91;:;:;4;6;:;:;4;4;7;:;.;.;100;85,71428571;.;.;1,990049751;1,990049751;3,482587065;.
71 Mosjøregionen;71;Mosjøregionen;779;47;732;852;66;786;91,4;71,2;93,1;100;8;92;7;10;11;7;12;14;13;15;11;13;50;76,92307692;73,33333333;63,63636364;92,30769231;1,643192488;1,525821596;1,76056338;1,291079812;1,525821596
72 Ranaregionen;72;Ranaregionen;1720;119;1 601;1 838;139;1 699;93,6;85,6;94,2;100;8;92;23;22;21;23;30;32;33;24;22;28;71,875;66,66666667;87,5;104,5454545;107,1428571;1,741022851;1,795429815;1,305767138;1,19695321;1,523394995
73 Salten;73;Salten;4409;326;4 083;4 684;356;4 328;94,1;91,6;94,3;100;8;92;55;56;73;70;72;73;60;81;72;70;75,34246575;93,33333333;90,12345679;97,22222222;102,8571429;1,558497011;1,280956447;1,729291204;1,537147737;1,494449189
74 Ofoten;74;Ofoten;1265;97;1 168;1 433;146;1 287;88,3;66,4;90,8;100;10;90;13;24;22;13;25;34;39;25;20;28;38,23529412;61,53846154;88;65;89,28571429;2,372644801;2,721563154;1,744591766;1,395673412;1,953942777
75 Lofoten;75;Lofoten;1130;119;1 011;1 303;158;1 145;86,7;75,3;88,3;100;12;88;18;22;24;34;21;32;32;32;40;22;56,25;68,75;75;85;95,45454545;2,455871067;2,455871067;2,455871067;3,069838833;1,688411358
76 Vesterålen;76;Vesterålen;1545;167;1 378;1 696;198;1 498;91,1;84,3;92;100;12;88;26;24;40;36;41;49;32;44;35;38;53,06122449;75;90,90909091;102,8571429;107,8947368;2,889150943;1,886792453;2,594339623;2,063679245;2,240566038
77 Sør-Troms;77;Sør-Troms;1855;156;1 699;2 001;187;1 814;92,7;83,4;93,7;100;9;91;22;25;48;33;28;45;30;46;30;36;48,88888889;83,33333333;104,3478261;110;77,77777778;2,248875562;1,499250375;2,298850575;1,499250375;1,79910045
78 Midt-Troms;78;Midt-Troms;1593;112;1 481;1 715;132;1 583;92,9;84,8;93,6;100;8;92;13;30;20;28;21;27;38;24;25;18;48,14814815;78,94736842;83,33333333;112;116,6666667;1,574344023;2,21574344;1,39941691;1,457725948;1,049562682
79 Tromsøregionen;79;Tromsøregionen;4751;411;4 340;4 957;483;4 474;95,8;85,1;97;100;10;90;65;81;101;79;85;93;93;112;82;103;69,89247312;87,09677419;90,17857143;96,34146341;82,52427184;1,876134759;1,876134759;2,259431108;1,654226347;2,077869679
80 Nord-Troms;80;Nord-Troms;699;38;661;772;38;734;90,5;100;90,1;100;5;95;6;9;8;6;9;10;7;10;5;6;60;128,5714286;80;120;150;1,295336788;0,906735751;1,295336788;0,647668394;0,777202073
81 Vest-Finnmark;81;Vest-Finnmark;2145;207;1 938;2 370;255;2 115;90,5;81,2;91,6;100;11;89;29;43;51;47;37;55;47;62;50;41;52,72727273;91,4893617;82,25806452;94;90,24390244;2,320675105;1,983122363;2,616033755;2,109704641;1,729957806
82 Midt-Finnmark;82;Midt-Finnmark;622;13;609;665;25;640;93,5;52;95,2;100;4;96;:;4;:;:;:;4;7;4;4;6;.;57,14285714;.;.;.;0,601503759;1,052631579;0,601503759;0,601503759;0,902255639
83 Øst-Finnmark;83;Øst-Finnmark;1107;159;948;1 208;168;1 040;91,6;94,6;91,2;100;14;86;31;33;34;25;36;43;38;30;22;35;72,09302326;86,84210526;113,3333333;113,6363636;102,8571429;3,559602649;3,145695364;2,483443709;1,821192053;2,897350993
